StudentID,University,Major,RegisteredDate,GraduationDate,Logins,ProfileCompleted,ResumeUploads,ApplicationsSubmitted,CareerFairAttendance,WorkshopAttendance,InfoSessionAttendance,ResumeWorkshopAttended,InterviewInvites,ShortlistedCount,InternshipPlacement,InternshipEmployer,InternshipStartDate,FullTimePlacement,FullTimeEmployer,FullTimePlacementDate,DaysToFullTimeJob,Applications_Tech,Applications_Finance,Applications_Healthcare,Applications_Education,Applications_Manufacturing
S00001,UCSD,Computer Science,2024-04-24,2027-05-06,145,1,2,37,4,4,2,1,6,4,1,Apple,2026-11-27,1,Amazon,2027-09-27,144.0,5,7,4,11,4
S00002,Boston University,Computer Science,2024-04-14,2028-03-25,163,1,3,29,4,4,3,1,7,6,1,Microsoft,2027-08-09,1,Google,2028-11-26,246.0,11,2,8,12,5
S00003,Arizona State U.,Computer Science,2024-04-05,2027-07-25,150,1,1,47,6,3,2,1,5,2,1,Deloitte,2027-02-26,1,Deloitte,2027-09-06,43.0,7,8,5,7,9
S00004,Ohio State,Computer Science,2025-10-27,2029-10-20,131,1,4,43,4,2,2,1,3,3,1,Goldman Sachs,2029-03-05,1,JPMorgan Chase,2030-03-11,142.0,7,8,11,6,10
S00005,Purdue,Computer Science,2024-10-11,2027-10-14,174,1,3,35,5,4,1,1,14,7,1,Johnson & Johnson,2027-06-06,1,Tesla,2028-06-16,246.0,4,7,8,3,7
S00006,Michigan,Computer Science,2024-06-08,2027-09-26,158,1,5,32,5,4,3,1,6,3,1,Microsoft,2027-04-03,1,Goldman Sachs,2027-12-12,77.0,6,7,7,3,5
S00007,UCLA,Computer Science,2025-01-02,2028-06-26,157,1,3,33,5,3,2,1,9,3,1,Intel,2028-01-21,1,Johnson & Johnson,2028-08-17,52.0,11,6,4,5,11
S00008,Florida,Computer Science,2025-07-03,2028-09-03,169,1,0,34,5,5,3,1,7,1,1,Microsoft,2028-03-01,0,,,,10,7,8,12,5
S00009,Penn State,Computer Science,2024-10-27,2028-09-12,146,1,3,42,3,3,2,1,5,3,1,EY,2028-03-14,1,Johnson & Johnson,2029-01-18,128.0,6,5,11,8,3
S00010,UCLA,Computer Science,2024-02-16,2028-01-19,135,1,3,38,5,2,1,1,2,1,1,Intel,2027-08-24,1,Microsoft,2028-07-15,178.0,5,7,6,8,3
